,State_code,District_code,Area_name,Age_grp,T_P,T_M,T_F,R_P,R_M,R_F,U_P,U_M,U_F
290,15,000,State - MIZORAM (15),20-24,111708,55512,56196,50969,25314,25655,60739,30198,30541
291,15,000,State - MIZORAM (15),25-29,102346,51390,50956,46384,23442,22942,55962,27948,28014
729,15,000,State - MIZORAM (15),30-49,272113,138156,133957,118232,61170,57062,153881,76986,76895
287,15,000,State - MIZORAM (15),5-9,117788,59888,57900,64896,33073,31823,52892,26815,26077
730,15,000,State - MIZORAM (15),50-69,116083,59166,56917,54475,28523,25952,61608,30643,30965
731,15,000,State - MIZORAM (15),70+,27978,13874,14104,12882,6546,6336,15096,7328,7768
303,15,000,State - MIZORAM (15),Age not stated,633,379,254,280,154,126,353,225,128
285,15,000,State - MIZORAM (15),All ages,1097206,555339,541867,525435,269135,256300,571771,286204,285567
305,16,000,State - TRIPURA (16),0-4,322566,164505,158061,258020,131384,126636,64546,33121,31425
307,16,000,State - TRIPURA (16),10-14,357690,183001,174689,282994,144904,138090,74696,38097,36599
308,16,000,State - TRIPURA (16),15-19,357829,181136,176693,274888,139377,135511,82941,41759,41182
309,16,000,State - TRIPURA (16),20-24,373177,183779,189398,280876,138466,142410,92301,45313,46988
310,16,000,State - TRIPURA (16),25-29,344149,175059,169090,252860,129389,123471,91289,45670,45619
732,16,000,State - TRIPURA (16),30-49,1010551,523092,487459,704349,367645,336704,306202,155447,150755
306,16,000,State - TRIPURA (16),5-9,337735,172541,165194,266430,136049,130381,71305,36492,34813
733,16,000,State - TRIPURA (16),50-69,446669,233131,213538,302970,157055,145915,143699,76076,67623
734,16,000,State - TRIPURA (16),70+,121935,57265,64670,88042,42336,45706,33893,14929,18964
322,16,000,State - TRIPURA (16),Age not stated,1616,867,749,1035,568,467,581,299,282
304,16,000,State - TRIPURA (16),All ages,3673917,1874376,1799541,2712464,1387173,1325291,961453,487203,474250
324,17,000,State - MEGHALAYA (17),0-4,406154,205846,200308,351463,177831,173632,54691,28015,26676
326,17,000,State - MEGHALAYA (17),10-14,382606,193473,189133,315360,159784,155576,67246,33689,33557
327,17,000,State - MEGHALAYA (17),15-19,326188,164716,161472,254132,129138,124994,72056,35578,36478
328,17,000,State - MEGHALAYA (17),20-24,285012,139140,145872,217643,105372,112271,67369,33768,33601
329,17,000,State - MEGHALAYA (17),25-29,251281,124676,126605,191850,94964,96886,59431,29712,29719
735,17,000,State - MEGHALAYA (17),30-49,632928,319526,313402,481432,243452,237980,151496,76074,75422
325,17,000,State - MEGHALAYA (17),5-9,389182,197585,191597,331758,168347,163411,57424,29238,28186
736,17,000,State - MEGHALAYA (17),50-69,235334,119505,115829,182185,93423,88762,53149,26082,27067
737,17,000,State - MEGHALAYA (17),70+,52420,24036,28384,40835,19348,21487,11585,4688,6897
341,17,000,State - MEGHALAYA (17),Age not stated,5784,3329,2455,4781,2601,2180,1003,728,275
323,17,000,State - MEGHALAYA (17),All ages,2966889,1491832,1475057,2371439,1194260,1177179,595450,297572,297878
343,18,000,State - ASSAM (18),0-4,3212833,1634922,1577911,2900310,1474612,1425698,312523,160310,152213
345,18,000,State - ASSAM (18),10-14,3491727,1789381,1702346,3099766,1587764,1512002,391961,201617,190344
346,18,000,State - ASSAM (18),15-19,3068581,1595489,1473092,2664091,1388492,1275599,404490,206997,197493
347,18,000,State - ASSAM (18),20-24,2909405,1415580,1493825,2477603,1203111,1274492,431802,212469,219333
348,18,000,State - ASSAM (18),25-29,2815147,1393042,1422105,2386510,1183063,1203447,428637,209979,218658
738,18,000,State - ASSAM (18),30-49,8016988,4139470,3877518,6647273,3433653,3213620,1369715,705817,663898
344,18,000,State - ASSAM (18),5-9,3544339,1806346,1737993,3191197,1624618,1566579,353142,181728,171414
739,18,000,State - ASSAM (18),50-69,3328528,1749038,1579490,2749236,1430712,1318524,579292,318326,260966
740,18,000,State - ASSAM (18),70+,799204,406281,392923,676029,345112,330917,123175,61169,62006
360,18,000,State - ASSAM (18),Age not stated,18824,9894,8930,15019,7852,7167,3805,2042,1763
342,18,000,State - ASSAM (18),All ages,31205576,15939443,15266133,26807034,13678989,13128045,4398542,2260454,2138088
362,19,000,State - WEST BENGAL (19),0-4,7333143,3743862,3589281,5432943,2770164,2662779,1900200,973698,926502
364,19,000,State - WEST BENGAL (19),10-14,9156523,4677506,4479017,6677094,3401028,3276066,2479429,1276478,1202951
365,19,000,State - WEST BENGAL (19),15-19,9058031,4702325,4355706,6442695,3359604,3083091,2615336,1342721,1272615
366,19,000,State - WEST BENGAL (19),20-24,8758322,4422630,4335692,6042721,3062672,2980049,2715601,1359958,1355643
367,19,000,State - WEST BENGAL (19),25-29,7997909,4044904,3953005,5354996,2723495,2631501,2642913,1321409,1321504
741,19,000,State - WEST BENGAL (19),30-49,25343015,13021836,12321179,16496179,8469391,8026788,8846836,4552445,4294391
363,19,000,State - WEST BENGAL (19),5-9,8247809,4216763,4031046,6048643,3085358,2963285,2199166,1131405,1067761
742,19,000,State - WEST BENGAL (19),50-69,12254977,6461816,5793161,7769642,4062902,3706740,4485335,2398914,2086421
743,19,000,State - WEST BENGAL (19),70+,3013935,1453633,1560302,1869819,883964,985855,1144116,569669,574447
379,19,000,State - WEST BENGAL (19),Age not stated,112451,63752,48699,48381,26367,22014,64070,37385,26685
361,19,000,State - WEST BENGAL (19),All ages,91276115,46809027,44467088,62183113,31844945,30338168,29093002,14964082,14128920
381,20,000,State - JHARKHAND (20),0-4,3648297,1871134,1777163,2956705,1509453,1447252,691592,361681,329911
383,20,000,State - JHARKHAND (20),10-14,4104396,2112627,1991769,3237192,1662046,1575146,867204,450581,416623
384,20,000,State - JHARKHAND (20),15-19,3205268,1714887,1490381,2359367,1268321,1091046,845901,446566,399335
385,20,000,State - JHARKHAND (20),20-24,2827622,1431263,1396359,2052259,1031084,1021175,775363,400179,375184
386,20,000,State - JHARKHAND (20),25-29,2652639,1342314,1310325,1942429,976894,965535,710210,365420,344790
744,20,000,State - JHARKHAND (20),30-49,7766660,3987928,3778732,5702433,2906370,2796063,2064227,1081558,982669
382,20,000,State - JHARKHAND (20),5-9,4138425,2117879,2020546,3332668,1695581,1637087,805757,422298,383459
745,20,000,State - JHARKHAND (20),50-69,3764294,1900703,1863591,2824196,1397830,1426366,940098,502873,437225
746,20,000,State - JHARKHAND (20),70+,763799,389328,374471,590860,298782,292078,172939,90546,82393
398,20,000,State - JHARKHAND (20),Age not stated,116734,62252,54482,56964,30125,26839,59770,32127,27643
380,20,000,State - JHARKHAND (20),All ages,32988134,16930315,16057819,25055073,12776486,12278587,7933061,4153829,3779232
400,21,000,State - ODISHA (21),0-4,3653029,1878127,1774902,3136169,1608566,1527603,516860,269561,247299
402,21,000,State - ODISHA (21),10-14,4348625,2203535,2145090,3705396,1872543,1832853,643229,330992,312237
403,21,000,State - ODISHA (21),15-19,3925398,1972684,1952714,3240171,1616989,1623182,685227,355695,329532
404,21,000,State - ODISHA (21),20-24,3783527,1870939,1912588,3078847,1513663,1565184,704680,357276,347404
405,21,000,State - ODISHA (21),25-29,3574037,1772876,1801161,2918990,1446384,1472606,655047,326492,328555
747,21,000,State - ODISHA (21),30-49,11179683,5671204,5508479,9109492,4598916,4510576,2070191,1072288,997903
401,21,000,State - ODISHA (21),5-9,4074768,2085339,1989429,3494942,1782516,1712426,579826,302823,277003
748,21,000,State - ODISHA (21),50-69,5785118,2927299,2857819,4872806,2435911,2436895,912312,491388,420924
749,21,000,State - ODISHA (21),70+,1530862,768786,762076,1318539,662245,656294,212323,106541,105782
417,21,000,State - ODISHA (21),Age not stated,119171,61347,57824,95210,48470,46740,23961,12877,11084
399,21,000,State - ODISHA (21),All ages,41974218,21212136,20762082,34970562,17586203,17384359,7003656,3625933,3377723
419,22,000,State - CHHATTISGARH (22),0-4,2541065,1286970,1254095,2027687,1022795,1004892,513378,264175,249203
421,22,000,State - CHHATTISGARH (22),10-14,2884013,1461185,1422828,2289627,1155074,1134553,594386,306111,288275
422,22,000,State - CHHATTISGARH (22),15-19,2599842,1319451,1280391,1998051,1009334,988717,601791,310117,291674
423,22,000,State - CHHATTISGARH (22),20-24,2389497,1193378,1196119,1773929,885162,888767,615568,308216,307352
424,22,000,State - CHHATTISGARH (22),25-29,2057300,1049238,1008062,1508182,770527,737655,549118,278711,270407
750,22,000,State - CHHATTISGARH (22),30-49,6505399,3278664,3226735,4846892,2426456,2420436,1658507,852208,806299
420,22,000,State - CHHATTISGARH (22),5-9,2758758,1404079,1354679,2206437,1117796,1088641,552321,286283,266038
751,22,000,State - CHHATTISGARH (22),50-69,3059852,1492956,1566896,2362345,1136287,1226058,697507,356669,340838
752,22,000,State - CHHATTISGARH (22),70+,726357,334867,391490,580824,266753,314071,145533,68114,77419
436,22,000,State - CHHATTISGARH (22),Age not stated,23115,12107,11008,13987,7242,6745,9128,4865,4263
418,22,000,State - CHHATTISGARH (22),All ages,25545198,12832895,12712303,19607961,9797426,9810535,5937237,3035469,2901768
438,23,000,State - MADHYA PRADESH (23),0-4,7471286,3874247,3597039,5763560,2982196,2781364,1707726,892051,815675
440,23,000,State - MADHYA PRADESH (23),10-14,8564501,4439329,4125172,6481035,3338101,3142934,2083466,1101228,982238
441,23,000,State - MADHYA PRADESH (23),15-19,7446789,3980072,3466717,5359720,2862347,2497373,2087069,1117725,969344
442,23,000,State - MADHYA PRADESH (23),20-24,6727579,3554088,3173491,4678759,2481628,2197131,2048820,1072460,976360
443,23,000,State - MADHYA PRADESH (23),25-29,5787506,2988325,2799181,3990858,2067454,1923404,1796648,920871,875777
753,23,000,State - MADHYA PRADESH (23),30-49,17814066,9176855,8637211,12409344,6380114,6029230,5404722,2796741,2607981
439,23,000,State - MADHYA PRADESH (23),5-9,8266455,4309693,3956762,6347575,3292243,3055332,1918880,1017450,901430
