,State_Code,District_code,Area_name,Type,Age_grp,Total_Person,Total_Male,Total_Female,Illiterate_Person,Illiterate_Male,Illiterate_Female,Literate_Person,Literate_Male,Literate_Female,Literate but below primary_Person,Literate but below primary_Male,Literate but below primary_Female,Primary but below middle_Person,Primary but below middle_Male,Primary but below middle_Female,Middle but below matric/secondary_Person,Middle but below matric/secondary_Male,Middle but below matric/secondary_Female,Matric/Secondary but below graduate_Person,Matric/Secondary but below graduate_Male,Matric/Secondary but below graduate_Female,Graduate and above_Person,Graduate and above_Male,Graduate and above_Female
122,01,000,State - JAMMU & KASHMIR,Rural,All ages,9108060,4774477,4333583,4360110,1882728,2477382,4747950,2891749,1856201,763590,419327,344263,999472,564510,434962,1243109,770561,472548,1350234,878414,471820,254288,173914,80374
123,01,000,State - JAMMU & KASHMIR,Rural,0-6,1593008,854141,738867,1593008,854141,738867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,01,000,State - JAMMU & KASHMIR,Rural,7,211924,111149,100775,76025,37793,38232,135899,73356,62543,131780,70847,60933,0,0,0,0,0,0,0,0,0,0,0,0
125,01,000,State - JAMMU & KASHMIR,Rural,8,223830,117665,106165,50309,23949,26360,173521,93716,79805,170321,91788,78533,0,0,0,0,0,0,0,0,0,0,0,0
126,01,000,State - JAMMU & KASHMIR,Rural,9,195583,102930,92653,32247,14797,17450,163336,88133,75203,142152,76710,65442,18678,9891,8787,0,0,0,0,0,0,0,0,0
127,01,000,State - JAMMU & KASHMIR,Rural,10,244857,129213,115644,43350,20001,23349,201507,109212,92295,131027,71040,59987,67258,36274,30984,0,0,0,0,0,0,0,0,0
128,01,000,State - JAMMU & KASHMIR,Rural,11,220044,115820,104224,28579,12356,16223,191465,103464,88001,62379,33759,28620,126422,68113,58309,0,0,0,0,0,0,0,0,0
129,01,000,State - JAMMU & KASHMIR,Rural,12,226066,118391,107675,26979,10469,16510,199087,107922,91165,25328,13501,11827,148849,80611,68238,22474,12383,10091,0,0,0,0,0,0
130,01,000,State - JAMMU & KASHMIR,Rural,13,202068,105405,96663,21785,7983,13802,180283,97422,82861,10372,5348,5024,114247,61838,52409,53595,29014,24581,0,0,0,0,0,0
131,01,000,State - JAMMU & KASHMIR,Rural,14,204201,106682,97519,22412,7740,14672,181789,98942,82847,5660,2889,2771,66466,36235,30231,107586,58638,48948,0,0,0,0,0,0
